,xxx_ hospital_US,,last1hrArrival
4/7/18 22:00,29,,
4/7/18 23:00,20,,
4/8/18 0:00,28,,
4/8/18 1:00,16,,
4/8/18 2:00,46,,
4/8/18 3:00,48,,
4/8/18 4:00,78,,
4/8/18 5:00,17,,
4/8/18 6:00,0,,
4/8/18 7:00,12,,
4/8/18 8:00,17,,
4/8/18 9:00,24,,
4/8/18 10:00,21,,
4/8/18 11:00,41,,
4/8/18 12:00,34,,
4/8/18 13:00,25,,
4/8/18 14:00,32,,
4/8/18 15:00,31,,
4/8/18 16:00,26,,
4/8/18 17:00,21,,
4/8/18 18:00,26,,
4/8/18 19:00,25,,
4/8/18 20:00,37,,
4/8/18 21:00,34,,
4/8/18 22:00,32,,
4/8/18 23:00,18,,
4/9/18 0:00,64,,
4/9/18 1:00,68,,
4/9/18 2:00,29,,
4/9/18 3:00,0,,
4/9/18 4:00,35,,
4/9/18 5:00,32,,
4/9/18 6:00,30,,
4/9/18 7:00,22,,
4/9/18 8:00,38,,
4/9/18 9:00,59,,
4/9/18 10:00,78,,
4/9/18 11:00,67,,
4/9/18 12:00,58,,
4/9/18 13:00,50,,
4/9/18 14:00,72,,
4/9/18 15:00,60,,
4/9/18 16:00,73,,
4/9/18 17:00,83,,
4/9/18 18:00,78,,
4/9/18 19:00,49,,
4/9/18 20:00,68,,
4/9/18 21:00,21,,
4/9/18 22:00,42,,
4/9/18 23:00,49,,
4/10/18 0:00,53,,
4/10/18 1:00,20,,
4/10/18 2:00,30,,
4/10/18 3:00,19,,
4/10/18 4:00,0,,
4/10/18 5:00,21,,
4/10/18 6:00,6,,
4/10/18 7:00,26,,
4/10/18 8:00,22,,
4/10/18 9:00,36,,
4/10/18 10:00,62,,
4/10/18 11:00,67,,
4/10/18 12:00,61,,
4/10/18 13:00,72,,
4/10/18 14:00,56,,
4/10/18 15:00,59,,
4/10/18 16:00,57,,
4/10/18 17:00,57,,
4/10/18 18:00,64,,
4/10/18 19:00,39,,
4/10/18 20:00,41,,
4/10/18 21:00,38,,
4/10/18 22:00,55,,
4/10/18 23:00,54,,
4/11/18 0:00,59,,
4/11/18 1:00,100,,
4/11/18 2:00,15,,
4/11/18 3:00,0,,
4/11/18 4:00,33,,
4/11/18 5:00,7,,
4/11/18 6:00,4,,
4/11/18 7:00,18,,
4/11/18 8:00,25,,
4/11/18 9:00,53,,
4/11/18 10:00,46,,
4/11/18 11:00,53,,
4/11/18 12:00,60,,
4/11/18 13:00,73,,
4/11/18 14:00,42,,
4/11/18 15:00,52,,
4/11/18 16:00,64,,
4/11/18 17:00,48,,
4/11/18 18:00,51,,
4/11/18 19:00,30,,
4/11/18 20:00,50,,
4/11/18 21:00,51,,
4/11/18 22:00,45,,
4/11/18 23:00,53,,
4/12/18 0:00,53,,
4/12/18 1:00,40,,
4/12/18 2:00,30,,
4/12/18 3:00,0,,
4/12/18 4:00,18,,
4/12/18 5:00,11,,
4/12/18 6:00,6,,
4/12/18 7:00,27,,
4/12/18 8:00,43,,
4/12/18 9:00,36,,
4/12/18 10:00,62,,
4/12/18 11:00,45,,
4/12/18 12:00,64,,
4/12/18 13:00,48,,
4/12/18 14:00,67,,
4/12/18 15:00,60,,
4/12/18 16:00,49,,
4/12/18 17:00,62,,
4/12/18 18:00,41,,
4/12/18 19:00,39,,
4/12/18 20:00,52,,
4/12/18 21:00,46,,
4/12/18 22:00,44,,
4/12/18 23:00,56,,
4/13/18 0:00,14,,
4/13/18 1:00,51,,
4/13/18 2:00,75,,
4/13/18 3:00,0,,
4/13/18 4:00,0,,
4/13/18 5:00,22,,
4/13/18 6:00,25,,
4/13/18 7:00,8,,
4/13/18 8:00,17,,
4/13/18 9:00,42,,
4/13/18 10:00,66,,
4/13/18 11:00,50,,
4/13/18 12:00,72,,
4/13/18 13:00,58,,
4/13/18 14:00,51,,
4/13/18 15:00,60,,
4/13/18 16:00,44,,
4/13/18 17:00,53,,
4/13/18 18:00,57,,
4/13/18 19:00,34,,
4/13/18 20:00,26,,
4/13/18 21:00,37,,
4/13/18 22:00,47,,
