time,evergreen hospital: (Seattle-Tacoma WA),emergency room: (Seattle-Tacoma WA),emergency: (Seattle-Tacoma WA),northwest medical center: (Seattle-Tacoma WA),overlake hospital: (Seattle-Tacoma WA),UW hospital: (Seattle-Tacoma WA),swedish hospital: (Seattle-Tacoma WA),harborview medical center: (Seattle-Tacoma WA),Virginia Mason hospital: (Seattle-Tacoma WA)
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,62,,,,,
,,,,30,,,,,
,,,,50,,,,,
,,,,54,,,,,
,,,,30,,,,,
,,,,38,,,,,
,,,,34,,,,,
,,,,23,,,,,
,,,,25,,,,,
,,,,28,33,,,,
,,,,22,26,,,,
,,,,37,0,,,,
,,,,0,73,,,,
,,,,0,0,,,,
,,,,38,44,,,,
,,,,33,77,,,,
,,,,95,45,,,,
,,,,37,54,,,,
,,,,65,58,,,,
,,,,27,72,,,,
,,,,82,100,,,,
,,,,62,58,,,,
,,,,68,65,,,,
,,,,74,47,,,,
,,,,58,68,,,,
,,,,66,55,,,,
,,,,81,95,,,,
,,,,50,27,,,,
,,,,67,54,,,,
,,,,32,67,,,,
,,,,14,45,,,,
,,,,17,48,,,,
,,,,22,73,,,,
,,,,24,28,,,,
,,,,7,18,,,,
,,,,38,0,,,,
,,,,21,0,,,,
,,,,93,73,,,,
,,,,0,0,,,,
,,,,66,0,,,,
,,,,19,0,,,,
,,,,36,86,,,,
,,,,43,32,,,,
,,,,61,45,,,,
,,,,83,70,,,,
,,,,57,81,,,,
,,,,66,85,,,,
,,,,32,56,,,,
,,,,22,84,,,,
,,,,45,45,,,,
,,,,56,54,,,,
,,,,75,48,,,,
,,,,40,68,,,,
,,,,34,35,,,,
,,,,32,25,,,,
,,,,28,29,,,,
,,,,37,35,,,,
,,,,29,28,,,,
,,,,8,18,,,,
,,,,63,0,,,,
,,,,43,50,,,,
,,,,0,75,,,,
,,,,39,46,,,,
,,,,68,0,,,,
,,,,20,46,,,,
,,,,28,22,,,,
,,,,22,39,,,,
,,,,59,28,,,,
,,,,52,81,,,,
,,,,62,65,,,,
,,,,48,72,,,,
,,,,56,46,,,,
,,,,71,87,,,,
,,,,50,35,,,,
,,,,73,73,,,,
,,,,36,54,,,,
,,,,53,44,,,,
,,,,23,27,,,,
,,,,27,45,,,,
,,,,15,23,,,,
,,,,25,34,,,,
,,,,20,29,,,,
,,,,7,58,,,,
,,,,11,0,,,,
,,,,18,63,,,,
,,,,0,31,,,,
,,,,0,86,,,,
,,,,0,0,,,,
,,,,28,33,,,,
,,,,13,31,,,,
,,,,43,26,,,,
,,,,21,61,,,,
,,,,40,47,,,,
,,,,34,84,,,,
,,,,33,29,,,,
,,,,54,53,,,,
,,,,37,24,,,,
,,,,32,28,,,,
,,,,12,14,,,,
,,,,27,9,,,,
,,,,31,9,,,,
,,,,16,27,,,,
