Category: All categories,,,,,,,,,,,,,
,,,,,,,,,,,,,
Time,evergreen hospital: (Seattle-Tacoma WA),emergency room: (Seattle-Tacoma WA),emergency: (Seattle-Tacoma WA),,Time,northwest medical center: (Seattle-Tacoma WA),overlake hospital: (Seattle-Tacoma WA),UW hospital: (Seattle-Tacoma WA),,Time,swedish hospital: (Seattle-Tacoma WA),harborview medical center: (Seattle-Tacoma WA),Virginia Mason hospital: (Seattle-Tacoma WA)
2018-05-01T10:52:00-07:00,7,4,20,,2018-05-01T11:00:00-07:00,0,8,8,,2018-05-01T11:00:00-07:00,15,15,8
2018-05-01T11:00:00-07:00,6,3,23,,2018-05-01T11:08:00-07:00,0,40,16,,2018-05-01T11:08:00-07:00,30,15,8
2018-05-01T11:08:00-07:00,4,4,15,,2018-05-01T11:16:00-07:00,0,16,8,,2018-05-01T11:16:00-07:00,8,8,0
2018-05-01T11:16:00-07:00,3,0,20,,2018-05-01T11:24:00-07:00,8,32,16,,2018-05-01T11:24:00-07:00,23,15,8
2018-05-01T11:24:00-07:00,4,5,19,,2018-05-01T11:32:00-07:00,0,24,8,,2018-05-01T11:32:00-07:00,53,38,8
2018-05-01T11:32:00-07:00,5,3,16,,2018-05-01T11:40:00-07:00,8,8,8,,2018-05-01T11:40:00-07:00,15,7,0
2018-05-01T11:40:00-07:00,7,0,23,,2018-05-01T11:48:00-07:00,0,0,8,,2018-05-01T11:48:00-07:00,22,30,7
2018-05-01T11:48:00-07:00,3,1,16,,2018-05-01T11:56:00-07:00,0,17,0,,2018-05-01T11:56:00-07:00,30,22,0
2018-05-01T11:56:00-07:00,1,0,10,,2018-05-01T12:04:00-07:00,0,8,8,,2018-05-01T12:04:00-07:00,52,15,0
2018-05-01T12:04:00-07:00,3,4,20,,2018-05-01T12:12:00-07:00,0,8,0,,2018-05-01T12:12:00-07:00,24,15,0
2018-05-01T12:12:00-07:00,1,0,28,,2018-05-01T12:20:00-07:00,8,30,0,,2018-05-01T12:20:00-07:00,29,14,0
2018-05-01T12:20:00-07:00,4,1,21,,2018-05-01T12:28:00-07:00,0,15,7,,2018-05-01T12:28:00-07:00,22,43,0
2018-05-01T12:28:00-07:00,3,0,15,,2018-05-01T12:36:00-07:00,0,23,7,,2018-05-01T12:36:00-07:00,15,14,0
2018-05-01T12:36:00-07:00,3,3,34,,2018-05-01T12:44:00-07:00,7,0,0,,2018-05-01T12:44:00-07:00,7,35,0
2018-05-01T12:44:00-07:00,0,0,31,,2018-05-01T12:52:00-07:00,7,7,15,,2018-05-01T12:52:00-07:00,7,7,0
