date_time,GT_hospital_x,ED_arrivals,ED_census
4/7/18 22:00,29,,
4/7/18 23:00,20,,
4/8/18 0:00,28,,18
4/8/18 1:00,16,,16
4/8/18 2:00,46,,14
4/8/18 3:00,48,,11
4/8/18 4:00,78,,10
4/8/18 5:00,17,,10
4/8/18 6:00,0,,14
4/8/18 7:00,12,,14
4/8/18 8:00,17,,15
4/8/18 9:00,24,,11
4/8/18 10:00,21,,10
4/8/18 11:00,41,,8
4/8/18 12:00,34,,11
4/8/18 13:00,25,,23
4/8/18 14:00,32,,27
4/8/18 15:00,31,,23
4/8/18 16:00,26,,25
4/8/18 17:00,21,,23
4/8/18 18:00,26,,24
4/8/18 19:00,25,,24
4/8/18 20:00,37,,19
4/8/18 21:00,34,,20
4/8/18 22:00,32,,15
4/8/18 23:00,18,,15
4/9/18 0:00,64,,13
4/9/18 1:00,68,,11
4/9/18 2:00,29,,11
4/9/18 3:00,0,,10
4/9/18 4:00,35,,8
4/9/18 5:00,32,,9
4/9/18 6:00,30,,9
4/9/18 7:00,22,,13
4/9/18 8:00,38,,16
4/9/18 9:00,59,,17
4/9/18 10:00,78,,23
4/9/18 11:00,67,,32
4/9/18 12:00,58,,32
4/9/18 13:00,50,,33
4/9/18 14:00,72,,30
4/9/18 15:00,60,,32
4/9/18 16:00,73,,34
4/9/18 17:00,83,,36
4/9/18 18:00,78,,37
4/9/18 19:00,49,,38
4/9/18 20:00,68,,32
4/9/18 21:00,21,,37
4/9/18 22:00,42,,36
4/9/18 23:00,49,,36
4/10/18 0:00,53,,32
4/10/18 1:00,20,,27
4/10/18 2:00,30,,27
4/10/18 3:00,19,,21
4/10/18 4:00,0,,17
4/10/18 5:00,21,,17
4/10/18 6:00,6,,15
4/10/18 7:00,26,,15
4/10/18 8:00,22,,17
4/10/18 9:00,36,,17
4/10/18 10:00,62,,19
4/10/18 11:00,67,,24
4/10/18 12:00,61,,32
4/10/18 13:00,72,,28
4/10/18 14:00,56,,27
4/10/18 15:00,59,,35
4/10/18 16:00,57,,37
4/10/18 17:00,57,,42
4/10/18 18:00,64,,36
4/10/18 19:00,39,,32
4/10/18 20:00,41,,32
4/10/18 21:00,38,,26
4/10/18 22:00,55,,21
4/10/18 23:00,54,,22
4/11/18 0:00,59,,18
4/11/18 1:00,100,,15
4/11/18 2:00,15,,13
4/11/18 3:00,0,,14
4/11/18 4:00,33,,10
4/11/18 5:00,7,,6
4/11/18 6:00,4,,7
4/11/18 7:00,18,,6
4/11/18 8:00,25,,10
4/11/18 9:00,53,,12
4/11/18 10:00,46,,17
4/11/18 11:00,53,,21
4/11/18 12:00,60,,31
4/11/18 13:00,73,,29
4/11/18 14:00,42,,30
4/11/18 15:00,52,,34
4/11/18 16:00,64,,31
4/11/18 17:00,48,,32
4/11/18 18:00,51,,29
4/11/18 19:00,30,,34
4/11/18 20:00,50,,33
4/11/18 21:00,51,,30
4/11/18 22:00,45,,26
4/11/18 23:00,53,,21
4/12/18 0:00,53,,10
4/12/18 1:00,40,,9
4/12/18 2:00,30,,9
4/12/18 3:00,0,,9
4/12/18 4:00,18,,9
4/12/18 5:00,11,,9
4/12/18 6:00,6,,8
4/12/18 7:00,27,,7
4/12/18 8:00,43,,6
4/12/18 9:00,36,,12
4/12/18 10:00,62,,24
4/12/18 11:00,45,,34
4/12/18 12:00,64,,33
4/12/18 13:00,48,,31
4/12/18 14:00,67,,37
4/12/18 15:00,60,,35
4/12/18 16:00,49,,29
4/12/18 17:00,62,,31
4/12/18 18:00,41,,35
4/12/18 19:00,39,,35
4/12/18 20:00,52,,40
4/12/18 21:00,46,,41
4/12/18 22:00,44,,36
4/12/18 23:00,56,,31
4/13/18 0:00,14,,
4/13/18 1:00,51,,
4/13/18 2:00,75,,
4/13/18 3:00,0,,
4/13/18 4:00,0,,
4/13/18 5:00,22,,
4/13/18 6:00,25,,
4/13/18 7:00,8,,
4/13/18 8:00,17,,
4/13/18 9:00,42,,
4/13/18 10:00,66,,
4/13/18 11:00,50,,
4/13/18 12:00,72,,
4/13/18 13:00,58,,
