time,actual_arrival
4/23/18 6:00,2
4/23/18 7:15,0
4/23/18 7:30,2
4/23/18 7:45,6
4/23/18 8:00,9
4/23/18 8:15,11
4/23/18 8:30,11
4/23/18 8:45,7
4/23/18 9:00,8
4/23/18 9:15,8
4/23/18 9:30,7
4/23/18 9:45,11
4/23/18 10:00,10
4/23/18 10:15,17
4/23/18 10:30,19
4/23/18 10:45,19
4/23/18 11:00,16
4/23/18 11:15,8
4/23/18 11:30,8
4/23/18 11:45,10
4/23/18 12:00,14
4/23/18 12:15,16
4/23/18 12:30,18
4/23/18 12:45,15
4/23/18 13:00,13
4/23/18 13:15,14
4/23/18 13:30,15
4/23/18 13:45,18
4/23/18 14:00,18
4/23/18 14:15,22
4/23/18 14:30,21
4/23/18 14:45,22
4/23/18 15:00,18
4/23/18 15:15,13
4/23/18 15:30,11
4/23/18 15:45,6
4/23/18 16:00,13
4/23/18 16:15,12
4/23/18 16:30,17
4/23/18 16:45,18
4/23/18 17:00,17
4/23/18 17:15,25
4/23/18 17:30,20
4/23/18 17:45,20
4/23/18 18:00,15
4/23/18 18:15,12
4/23/18 18:30,12
4/23/18 18:45,10
4/23/18 19:00,9
4/23/18 19:15,7
4/23/18 19:30,9
4/23/18 19:45,16
4/23/18 20:00,20
4/23/18 20:15,20
4/23/18 20:30,21
4/23/18 20:45,14
4/23/18 21:00,8
4/23/18 21:15,9
4/23/18 21:30,8
4/23/18 21:45,15
4/23/18 22:00,20
4/23/18 22:15,20
4/23/18 22:30,20
4/23/18 22:45,11
4/23/18 23:00,6
4/23/18 23:15,6
4/23/18 23:30,8
4/23/18 23:45,10
4/24/18 0:00,8
4/24/18 0:15,6
4/24/18 0:30,2
4/24/18 0:45,0
4/24/18 1:00,0
4/24/18 1:15,0
4/24/18 1:30,4
4/24/18 1:45,7
4/24/18 2:00,7
4/24/18 2:15,10
4/24/18 2:30,6
4/24/18 2:45,3
4/24/18 3:00,3
4/24/18 3:15,0
4/24/18 3:30,0
4/24/18 3:45,0
4/24/18 4:00,2
4/24/18 4:15,2
4/24/18 4:30,2
4/24/18 4:45,4
4/24/18 5:00,2
4/24/18 5:15,2
4/24/18 5:30,7
4/24/18 5:45,5
4/24/18 6:00,5
4/24/18 6:15,7
4/24/18 6:30,2
4/24/18 6:45,2
4/24/18 7:00,4
4/24/18 7:15,6
4/24/18 7:30,6
4/24/18 7:45,12
4/24/18 8:00,10
4/24/18 8:15,6
4/24/18 8:30,6
4/24/18 8:45,4
4/24/18 9:00,10
4/24/18 9:15,14
4/24/18 9:30,18
4/24/18 9:45,16
4/24/18 10:00,14
4/24/18 10:15,14
4/24/18 10:30,12
4/24/18 10:45,16
4/24/18 11:00,11
4/24/18 11:15,12
4/24/18 11:30,15
4/24/18 11:45,15
4/24/18 12:00,18
4/24/18 12:15,20
4/24/18 12:30,20
4/24/18 12:45,16
4/24/18 13:00,15
4/24/18 13:15,12
4/24/18 13:30,8
4/24/18 13:45,8
4/24/18 14:00,9
4/24/18 14:15,11
4/24/18 14:30,13
4/24/18 14:45,11
4/24/18 15:00,12
4/24/18 15:15,10
4/24/18 15:30,13
4/24/18 15:45,13
4/24/18 16:00,14
4/24/18 16:15,15
4/24/18 16:30,10
4/24/18 16:45,15
4/24/18 17:00,15
4/24/18 17:15,16
4/24/18 17:30,19
4/24/18 17:45,12
4/24/18 18:00,7
4/24/18 18:15,5
4/24/18 18:30,8
4/24/18 18:45,11
4/24/18 19:00,16
4/24/18 19:15,21
4/24/18 19:30,23
4/24/18 19:45,26
4/24/18 20:00,25
4/24/18 20:15,20
4/24/18 20:30,15
4/24/18 20:45,14
4/24/18 21:00,11
4/24/18 21:15,14
4/24/18 21:30,14
4/24/18 21:45,17
4/24/18 22:00,15
4/24/18 22:15,14
4/24/18 22:30,14
4/24/18 22:45,9
4/24/18 23:00,24
4/24/18 23:15,16
4/24/18 23:30,15
4/24/18 23:45,8
4/25/18 0:00,9
4/25/18 0:15,2
4/25/18 0:30,7
4/25/18 0:45,7
4/25/18 1:00,10
4/25/18 1:15,9
4/25/18 1:30,5
4/25/18 1:45,6
4/25/18 2:00,2
4/25/18 2:15,2
4/25/18 2:30,0
4/25/18 2:45,0
4/25/18 3:00,0
4/25/18 3:15,2
4/25/18 3:30,4
4/25/18 3:45,4
4/25/18 4:00,4
4/25/18 4:15,2
4/25/18 4:30,0
4/25/18 4:45,5
4/25/18 5:00,6
4/25/18 5:15,9
4/25/18 6:15,6
4/25/18 6:30,5
4/25/18 6:45,6
4/25/18 7:00,4
4/25/18 7:15,3
4/25/18 7:30,3
4/25/18 7:45,2
4/25/18 9:45,7
4/25/18 11:45,11
4/25/18 12:00,13
